tip,sex,day,time,size,price_per_person,payer_name,cc_number
1.01,Female,Sun,Dinner,2,8.49,Christy Cunningham,3560325168603410
1.66,Male,Sun,Dinner,3,3.45,Douglas Tucker,4478071379779230
3.5,Male,Sun,Dinner,3,7.0,Travis Walters,6011812112971322
3.31,Male,Sun,Dinner,2,11.84,Nathaniel Harris,4676137647685994
3.61,Female,Sun,Dinner,4,6.15,Tonya Carter,4832732618637221
4.71,Male,Sun,Dinner,4,6.32,Erik Smith,213140353657882
2.0,Male,Sun,Dinner,2,4.38,Kristopher Johnson,2223727524230344
3.12,Male,Sun,Dinner,4,6.72,Robert Buck,3514785077705092
1.96,Male,Sun,Dinner,2,7.52,Joseph Mcdonald,3522866365840377
3.23,Male,Sun,Dinner,2,7.39,Jerome Abbott,3532124519049786
1.71,Male,Sun,Dinner,2,5.14,William Riley,566287581219
5.0,Female,Sun,Dinner,4,8.82,Diane Macias,4577817359320969
1.57,Male,Sun,Dinner,2,7.71,Chad Harrington,577040572932
3.0,Male,Sun,Dinner,4,4.61,Joshua Jones,6011163105616890
3.02,Female,Sun,Dinner,2,7.42,Vanessa Jones,30016702287574
3.92,Male,Sun,Dinner,2,10.79,Matthew Reilly,180073029785069
1.67,Female,Sun,Dinner,3,3.44,Elizabeth Foster,4240025044626033
3.71,Male,Sun,Dinner,3,5.43,John Pittman,6521340257218708
3.5,Female,Sun,Dinner,3,5.66,Laura Martinez,30422275171379
3.35,Male,Sat,Dinner,3,6.88,Timothy Oneal,6568069240986485
4.08,Male,Sat,Dinner,2,8.96,Thomas Rice,4403296224639756
2.75,Female,Sat,Dinner,2,10.14,Natalie Gardner,5448125351489749
2.23,Female,Sat,Dinner,2,7.88,Ashley Shelton,3524119516293213
7.58,Male,Sat,Dinner,4,9.86,Lance Peterson,3542584061609808
3.18,Male,Sat,Dinner,2,9.91,Christopher Ross,36739148167928
2.34,Male,Sat,Dinner,4,4.45,Robert Perkins,30502930499388
2.0,Male,Sat,Dinner,2,6.68,Kyle Avery,6531339539615499
2.0,Male,Sat,Dinner,2,6.34,Patrick Barber,30155551880343
4.3,Male,Sat,Dinner,2,10.85,David Collier,5529694315416009
3.0,Female,Sat,Dinner,2,9.82,Melinda Murphy,5489272944576051
1.45,Male,Sat,Dinner,2,4.78,Grant Hall,30196517521548
2.5,Male,Sat,Dinner,4,4.59,Danny Santiago,630415546013
3.0,Female,Sat,Dinner,2,7.53,Amanda Wilson,213186304291560
2.45,Female,Sat,Dinner,4,5.17,Amber Francis,377742985258914
3.27,Male,Sat,Dinner,2,8.89,Jacob Castillo,3551492000704805
3.6,Male,Sat,Dinner,3,8.02,Joseph Mullins,5519770449260299
2.0,Male,Sat,Dinner,3,5.44,William Ford,3527691170179398
3.07,Female,Sat,Dinner,3,5.64,Erin Lewis,5161695527390786
2.31,Male,Sat,Dinner,3,6.23,Brandon Bradley,4427601595688633
5.0,Male,Sat,Dinner,3,10.42,Mr. Brandon Berry,6011525851069856
2.24,Male,Sat,Dinner,3,5.35,Adam Edwards,3544447755679420
2.54,Male,Sun,Dinner,2,8.73,David Boyer,3536678244278149
3.06,Male,Sun,Dinner,2,6.97,Bryan Brown,36231182760859
1.32,Male,Sun,Dinner,2,4.84,Christopher Spears,4387671121369212
5.6,Male,Sun,Dinner,4,7.6,Todd Cooper,503846761263
3.0,Male,Sun,Dinner,2,9.14,Richard Fitzgerald,375156610762053
5.0,Male,Sun,Dinner,2,11.12,Joshua Gilmore,4292072734899
6.0,Male,Sun,Dinner,4,8.1,James Barnes,3552002592874186
2.05,Male,Sun,Dinner,3,9.52,Austin Fisher,6011481668986587
3.0,Male,Sun,Dinner,2,9.02,William Roth,6573923967142503
2.5,Male,Sun,Dinner,2,6.27,Jeremiah Neal,2225400829691416
2.6,Female,Sun,Dinner,2,5.14,Jessica Ibarra,4999759463713
